phrase,fn_df,all_df,fp_ratio,fn_pct,length
。弁護士,9,9,1.0,18.8,4
バレずに,9,9,1.0,18.8,4
の護身スクリプト」,9,9,1.0,18.8,9
、借金,9,9,1.0,18.8,3
なトラブル,9,9,1.0,18.8,5
.【浮気,8,8,1.0,16.7,4
24時間・,8,8,1.0,16.7,5
。無料で,8,8,1.0,16.7,4
【浮気,8,8,1.0,16.7,3
もスマホで,8,8,1.0,16.7,5
れるリスクが,8,8,1.0,16.7,6
に限らず,8,8,1.0,16.7,4
取られる,8,8,1.0,16.7,4
限らず,8,8,1.0,16.7,3
人ほど、,8,8,1.0,16.7,4
*という,8,8,1.0,16.7,4
**という,8,8,1.0,16.7,5
その時、,8,8,1.0,16.7,4
が判断,8,8,1.0,16.7,3
になった時,8,8,1.0,16.7,5
なった時に,8,8,1.0,16.7,5
、裁判,8,8,1.0,16.7,3
プロに頼る,8,8,1.0,16.7,5
ケース③：,8,8,1.0,16.7,5
防具で,8,8,1.0,16.7,3
・無料相談する,8,8,1.0,16.7,7
最強の防具,8,8,1.0,16.7,5
無料相談する,8,8,1.0,16.7,6
無料相談する（,8,8,1.0,16.7,7
防具である,8,8,1.0,16.7,5
ケース③,8,8,1.0,16.7,4
頼る・無料,8,8,1.0,16.7,5
。ケース,8,8,1.0,16.7,4
。プロに頼る,8,8,1.0,16.7,6
の防具で,8,8,1.0,16.7,4
ケース②：,8,8,1.0,16.7,5
は最強の,8,8,1.0,16.7,4
知識は最強,8,8,1.0,16.7,5
ケース①：,8,8,1.0,16.7,5
知識は最強の,8,8,1.0,16.7,6
に頼る・無料,8,8,1.0,16.7,6
：知識は,8,8,1.0,16.7,4
相談する（解決,8,8,1.0,16.7,7
頼る・無料相談,8,8,1.0,16.7,7
する（解決へ,8,8,1.0,16.7,6
への近道）,8,8,1.0,16.7,5
プロに頼る・,8,8,1.0,16.7,6
最後に：知識,8,8,1.0,16.7,6
ケース②,8,8,1.0,16.7,4
。ケース③：,8,8,1.0,16.7,6
損害賠償,8,8,1.0,16.7,4
。ケース②：,8,8,1.0,16.7,6
は最強の防具,8,8,1.0,16.7,6
する（解決,8,8,1.0,16.7,5
近道）,8,8,1.0,16.7,3
（解決へ,8,8,1.0,16.7,4
・無料相談,8,8,1.0,16.7,5
に頼る・,8,8,1.0,16.7,4
慰謝料を,8,8,1.0,16.7,4
。ケース③,8,8,1.0,16.7,5
（解決への,8,8,1.0,16.7,5
に：知識は,8,8,1.0,16.7,5
の防具である,8,8,1.0,16.7,6
の近道）,8,8,1.0,16.7,4
（解決,8,8,1.0,16.7,3
最強の防具で,8,8,1.0,16.7,6
頼る・,8,8,1.0,16.7,3
。プロに,8,8,1.0,16.7,4
：知識は最強,8,8,1.0,16.7,6
相談する（,8,8,1.0,16.7,5
。ケース②,8,8,1.0,16.7,5
に：知識,8,8,1.0,16.7,4
解決への近道,8,8,1.0,16.7,6
ケース①,8,8,1.0,16.7,4
警察は,8,8,1.0,16.7,3
ものです：,8,8,1.0,16.7,5
知っている者,8,8,1.0,16.7,6
いる者」,8,8,1.0,16.7,4
自己紹介：弁護,8,8,1.0,16.7,7
この知識,8,8,1.0,16.7,4
ている者」,8,8,1.0,16.7,5
紹介：弁護士,8,8,1.0,16.7,6
セーフ,8,8,1.0,16.7,3
のものです：,8,8,1.0,16.7,6
紹介：弁護,8,8,1.0,16.7,5
。慰謝料請求,8,8,1.0,16.7,6
入れてください。,8,8,1.0,16.7,8
知識」と,8,8,1.0,16.7,4
のLit,8,8,1.0,16.7,4
のLit.Link,8,8,1.0,16.7,9
私のLit,8,8,1.0,16.7,5
に入れてください,8,8,1.0,16.7,8
】2026年2,8,8,1.0,16.7,7
。慰謝,8,8,1.0,16.7,3
守ってくれる,8,8,1.0,16.7,6
関係ない」と,8,8,1.0,16.7,6
関係ない」,8,8,1.0,16.7,5
のLit.,8,8,1.0,16.7,5
リボ払いを,8,8,1.0,16.7,5
・リボ払いを,8,8,1.0,16.7,6
私のLit.,8,8,1.0,16.7,6
以下のリンクを,8,8,1.0,16.7,7
払いを,8,8,1.0,16.7,3
。慰謝料,8,8,1.0,16.7,4
感情論,8,8,1.0,16.7,3
戻ってくる,7,7,1.0,14.6,5
逆転する,7,7,1.0,14.6,4
借金が,7,7,1.0,14.6,3
にスマホ,7,7,1.0,14.6,4
なります。そう,7,7,1.0,14.6,7
動けば,7,7,1.0,14.6,3
」でもあり,7,7,1.0,14.6,5
300万円,7,7,1.0,14.6,5
見直す,7,7,1.0,14.6,3
で自分を,7,7,1.0,14.6,4
自分で自分を,7,7,1.0,14.6,6
て、知っ,7,7,1.0,14.6,4
。その時、,7,7,1.0,14.6,5
診断】,7,7,1.0,14.6,3
判断力,7,7,1.0,14.6,3
判断力を,7,7,1.0,14.6,4
BANさ,7,7,1.0,14.6,4
BAN,7,7,1.0,14.6,3
あなたの生活,7,7,1.0,14.6,6
限らず、,7,7,1.0,14.6,4
に限らず、,7,7,1.0,14.6,5
の支払いが,7,7,1.0,14.6,5
が戻って,7,7,1.0,14.6,4
が戻っ,7,7,1.0,14.6,3
支払いが,7,7,1.0,14.6,4
罪（刑法,7,7,1.0,14.6,4
「知識」,7,7,1.0,14.6,4
合法的な,7,7,1.0,14.6,4
なる。これ,7,7,1.0,14.6,5
になる。これ,7,7,1.0,14.6,6
請求と,7,7,1.0,14.6,3
瞬間、あなた,7,7,1.0,14.6,6
法的リスク,7,7,1.0,14.6,5
の法的リスク,7,7,1.0,14.6,6
証拠として,7,7,1.0,14.6,5
「合法的,7,7,1.0,14.6,4
化しやすい,7,7,1.0,14.6,5
3年以下,7,7,1.0,14.6,4
的証拠,7,7,1.0,14.6,3
証拠とし,7,7,1.0,14.6,4
3年以下の,7,7,1.0,14.6,5
アウト（,7,7,1.0,14.6,4
が最強の,7,7,1.0,14.6,4
取り戻しましょう,7,7,1.0,14.6,8
取り戻しましょう。,7,7,1.0,14.6,9
を取り戻しましょう,7,7,1.0,14.6,9
を取り戻しましょう。,7,7,1.0,14.6,10
、泣き寝入り,7,7,1.0,14.6,6
払いすぎた,7,7,1.0,14.6,5
、理不尽な,7,7,1.0,14.6,5
発合格,7,7,1.0,14.6,3
ながら法律,7,7,1.0,14.6,5
いる者」だけ,7,7,1.0,14.6,6
され、泣き,7,7,1.0,14.6,5
でもスマホで,7,7,1.0,14.6,6
？プロの無料,7,7,1.0,14.6,6
。まずは無料,7,7,1.0,14.6,6
を一発,7,7,1.0,14.6,3
資格を一,7,7,1.0,14.6,4
ギリギリの法律,7,7,1.0,14.6,7
無料家計,7,7,1.0,14.6,4
を守れる,7,7,1.0,14.6,4
もスマホで学べる,7,7,1.0,14.6,8
*「人生の,7,7,1.0,14.6,5
ギリギリの法律知識,7,7,1.0,14.6,9
。なぜ今,7,7,1.0,14.6,4
すぎた税金,7,7,1.0,14.6,5
れ、泣き,7,7,1.0,14.6,4
法律資格を,7,7,1.0,14.6,5
ながら法律資格を,7,7,1.0,14.6,8
、理不尽,7,7,1.0,14.6,4
戻る？プロの,7,7,1.0,14.6,6
すぐ以下,7,7,1.0,14.6,4
泣き寝入りする,7,7,1.0,14.6,7
の無料家計,7,7,1.0,14.6,5
側」に,7,7,1.0,14.6,3
ために、弁護,7,7,1.0,14.6,6
金が戻る,7,7,1.0,14.6,4
リボ払いを減額,7,7,1.0,14.6,7
。なぜ今、,7,7,1.0,14.6,5
まずは無料,7,7,1.0,14.6,5
を迷っている,7,7,1.0,14.6,6
金が戻る？,7,7,1.0,14.6,5
をタップして,7,7,1.0,14.6,6
で学べる最短ルート,7,7,1.0,14.6,9
一発合格,7,7,1.0,14.6,4
パニックになり、,7,7,1.0,14.6,8
戻る？,7,7,1.0,14.6,3
者」だけ,7,7,1.0,14.6,4
戻る？プロ,7,7,1.0,14.6,5
に、弁護,7,7,1.0,14.6,4
知識」と「,7,7,1.0,14.6,5
搾取され、,7,7,1.0,14.6,5
のリンクをタップ,7,7,1.0,14.6,8
てください。3,7,7,1.0,14.6,7
働きながら法律資格,7,7,1.0,14.6,9
の無料家計診断,7,7,1.0,14.6,7
の法律知識,7,7,1.0,14.6,5
リンクをタップし,7,7,1.0,14.6,8
、搾取,7,7,1.0,14.6,3
お金が戻る,7,7,1.0,14.6,5
交渉する,7,7,1.0,14.6,4
、泣き,7,7,1.0,14.6,3
を迷って,7,7,1.0,14.6,4
なく、今,7,7,1.0,14.6,4
家族にバレず,7,7,1.0,14.6,6
に頼ん,7,7,1.0,14.6,3
法律資格を一,7,7,1.0,14.6,6
家族にバレ,7,7,1.0,14.6,5
ください。3,7,7,1.0,14.6,6
あなた自身が,7,7,1.0,14.6,6
、あなた自身が,7,7,1.0,14.6,7
搾取され,7,7,1.0,14.6,4
を一発合格,7,7,1.0,14.6,5
士リュウが,7,7,1.0,14.6,5
払いすぎた税金,7,7,1.0,14.6,7
学べる最短ルート,7,7,1.0,14.6,8
学べる最短,7,7,1.0,14.6,5
プロの無料家計,7,7,1.0,14.6,7
に、弁護士,7,7,1.0,14.6,5
ください。3.,7,7,1.0,14.6,7
・全国対応,7,7,1.0,14.6,5
プロの無料,7,7,1.0,14.6,5
家計診断,7,7,1.0,14.6,4
をタップし,7,7,1.0,14.6,5
した*,7,7,1.0,14.6,3
すぐ以下のリンク,7,7,1.0,14.6,8
無料家計診断,7,7,1.0,14.6,6
法律資格,7,7,1.0,14.6,4
が戻る？,7,7,1.0,14.6,4
ながら法律資格,7,7,1.0,14.6,7
スマホで学べる,7,7,1.0,14.6,7
数十万円,7,7,1.0,14.6,4
で学べる最短,7,7,1.0,14.6,6
すぐ以下の,7,7,1.0,14.6,5
今すぐ以下,7,7,1.0,14.6,5
リュウが,7,7,1.0,14.6,4
パニックになり,7,7,1.0,14.6,7
**「人生,7,7,1.0,14.6,5
れ、泣き寝入り,7,7,1.0,14.6,7
リンクをタップ,7,7,1.0,14.6,7
が戻る,7,7,1.0,14.6,3
寝入りする,7,7,1.0,14.6,5
資格を一発,7,7,1.0,14.6,5
今すぐ以下の,7,7,1.0,14.6,6
者でもスマホ,7,7,1.0,14.6,6
スマホで学べる最短,7,7,1.0,14.6,9
払いを減額,7,7,1.0,14.6,5
払いすぎ,7,7,1.0,14.6,4
タップして,7,7,1.0,14.6,5
、プロに,7,7,1.0,14.6,4
*「人生,7,7,1.0,14.6,4
、泣き寝入りする,7,7,1.0,14.6,8
プロに頼ん,7,7,1.0,14.6,5
を迷っ,7,7,1.0,14.6,3
働きながら法律,7,7,1.0,14.6,7
？プロの,7,7,1.0,14.6,4
が戻る？プロ,7,7,1.0,14.6,6
守れるよう,7,7,1.0,14.6,5
を減額,7,7,1.0,14.6,3
守れるように,7,7,1.0,14.6,6
なトラブルを,7,7,1.0,14.6,6
した**,7,7,1.0,14.6,4
た際の,6,6,1.0,12.5,3
と思わせる,6,6,1.0,12.5,5
付き合って,6,6,1.0,12.5,5
「証拠,6,6,1.0,12.5,3
勘違いしている,6,6,1.0,12.5,7
すぎる。,6,6,1.0,12.5,4
弁護士に,6,6,1.0,12.5,4
読んでくれ,6,6,1.0,12.5,5
シナリオ「,6,6,1.0,12.5,5
のシナリオ「,6,6,1.0,12.5,6
している方,6,6,1.0,12.5,5
。別の,6,6,1.0,12.5,3
記事を読ん,6,6,1.0,12.5,5
記事を読んで,6,6,1.0,12.5,6
警察が,6,6,1.0,12.5,3
交渉で,6,6,1.0,12.5,3
リスクがある,6,6,1.0,12.5,6
た者は、,6,6,1.0,12.5,4
ヤミ金・,6,6,1.0,12.5,4
取り立て,6,6,1.0,12.5,4
離婚・慰謝料,6,6,1.0,12.5,6
士監修,6,6,1.0,12.5,3
3弁護,6,6,1.0,12.5,3
離婚・慰謝,6,6,1.0,12.5,5
の悪質な取り立て,6,6,1.0,12.5,8
・情報商材,6,6,1.0,12.5,5
合法的に,6,6,1.0,12.5,4
・不倫の証拠,6,6,1.0,12.5,6
不法行為,6,6,1.0,12.5,4
な取り立て,6,6,1.0,12.5,5
騙されたお,6,6,1.0,12.5,5
相談窓口,6,6,1.0,12.5,4
詐欺・情報,6,6,1.0,12.5,5
されるリスク,6,6,1.0,12.5,6
は50万,6,6,1.0,12.5,4
れたお金,6,6,1.0,12.5,4
リュウです。,6,6,1.0,12.5,6
士リュウです,6,6,1.0,12.5,6
の相談窓口,6,6,1.0,12.5,5
士リュウです。,6,6,1.0,12.5,7
「弁護士,6,6,1.0,12.5,4
詐欺・情報商材,6,6,1.0,12.5,7
。法律,6,6,1.0,12.5,3
弁護士監修,6,6,1.0,12.5,5
・後払い,6,6,1.0,12.5,4
を請求,6,6,1.0,12.5,3
弁護士を,6,6,1.0,12.5,4
、慰謝料,6,6,1.0,12.5,4
退職代行,6,6,1.0,12.5,4
・慰謝料,6,6,1.0,12.5,4
悪質な取り立て,6,6,1.0,12.5,7
ヤミ金・後払い,6,6,1.0,12.5,7
即日ストップ,6,6,1.0,12.5,6
は弁護士,6,6,1.0,12.5,4
が犯罪,6,6,1.0,12.5,3
を即日,6,6,1.0,12.5,3
即日退職,6,6,1.0,12.5,4
・慰謝,6,6,1.0,12.5,3
、慰謝,6,6,1.0,12.5,3
「弁護,6,6,1.0,12.5,3
3弁護士,6,6,1.0,12.5,4
は弁護,6,6,1.0,12.5,3
ヤミ金,6,6,1.0,12.5,3
リュウです,6,6,1.0,12.5,5
刑事事件,6,6,1.0,12.5,4
「被害者,6,6,1.0,12.5,4
トラブルの,6,6,1.0,12.5,5
行為とし,6,6,1.0,12.5,4
行為として,6,6,1.0,12.5,5
「被害,6,6,1.0,12.5,3
の証拠を掴む,6,6,1.0,12.5,6
前科が,6,6,1.0,12.5,3
」を押さえて,6,6,1.0,12.5,6
「毎月の支払い,6,6,1.0,12.5,7
だけで損を,6,6,1.0,12.5,5
のドロドロした,6,6,1.0,12.5,7
知識が必要な,6,6,1.0,12.5,6
閲覧注意】,6,6,1.0,12.5,5
の裏側を,6,6,1.0,12.5,4
あなた自身が「,6,6,1.0,12.5,7
保険料…,6,6,1.0,12.5,4
的証拠を掴む,6,6,1.0,12.5,6
を鈍ら,6,6,1.0,12.5,3
寝入りすること,6,6,1.0,12.5,7
に数十万,6,6,1.0,12.5,4
▼1.【,6,6,1.0,12.5,4
。手元に数十,6,6,1.0,12.5,6
です。怪しいと,6,6,1.0,12.5,7
ルートの勉強法,6,6,1.0,12.5,7
に問い詰める前に,6,6,1.0,12.5,8
。すべて私,6,6,1.0,12.5,5
やではBAN,6,6,1.0,12.5,6
裏ワザまとめ,6,6,1.0,12.5,6
今、この知識,6,6,1.0,12.5,6
のトラブル、,6,6,1.0,12.5,6
【借金・,6,6,1.0,12.5,4
「裁判で勝てる,6,6,1.0,12.5,7
で救わ,6,6,1.0,12.5,3
は「知っ,6,6,1.0,12.5,4
すぎた税金、,6,6,1.0,12.5,6
法廷のドロドロし,6,6,1.0,12.5,8
【閲覧注意】,6,6,1.0,12.5,6
に：法律は,6,6,1.0,12.5,5
減額orゼロ,6,6,1.0,12.5,6
の法的リスクです,6,6,1.0,12.5,8
注意】実録,6,6,1.0,12.5,5
：人生を,6,6,1.0,12.5,4
「ギリギリの法律,6,6,1.0,12.5,8
料…。知ら,6,6,1.0,12.5,5
旺盛な方,6,6,1.0,12.5,4
購入を迷っ,6,6,1.0,12.5,5
押さえて,6,6,1.0,12.5,4
アクセス可能です。,6,6,1.0,12.5,9
・不倫の決定,6,6,1.0,12.5,6
金、見直す,6,6,1.0,12.5,5
ました。転ば,6,6,1.0,12.5,6
「家族にバレ,6,6,1.0,12.5,6
減額orゼロに,6,6,1.0,12.5,7
Linkからアクセス可能,6,6,1.0,12.5,12
には出,6,6,1.0,12.5,3
保険料…。,6,6,1.0,12.5,5
キツイ…,6,6,1.0,12.5,4
今日のテーマに,6,6,1.0,12.5,7
閲覧注意】実録,6,6,1.0,12.5,7
減額できるケース,6,6,1.0,12.5,8
自身が「法,6,6,1.0,12.5,5
、申請すれ,6,6,1.0,12.5,5
給付金、見直す,6,6,1.0,12.5,7
てくるケース,6,6,1.0,12.5,6
ではBAN,6,6,1.0,12.5,5
24時間・全国,6,6,1.0,12.5,7
こと、あなた自身,6,6,1.0,12.5,8
に、プロ,6,6,1.0,12.5,4
注意】実録！,6,6,1.0,12.5,6
なく、今すぐ,6,6,1.0,12.5,6
時間は利息の,6,6,1.0,12.5,6
たり、借金を,6,6,1.0,12.5,6
3.【浮気,6,6,1.0,12.5,5
ないだけで損,6,6,1.0,12.5,6
出ない社会の,6,6,1.0,12.5,6
ドロドロした裏話,6,6,1.0,12.5,8
。▼弁護士,6,6,1.0,12.5,5
です。▼弁護,6,6,1.0,12.5,6
でも「感情,6,6,1.0,12.5,5
ぬ先の杖,6,6,1.0,12.5,4
利息の,6,6,1.0,12.5,3
襲います。その,6,6,1.0,12.5,7
当事者になっ,6,6,1.0,12.5,6
無駄です。2,6,6,1.0,12.5,6
的な武器,6,6,1.0,12.5,4
ます。悩む時間,6,6,1.0,12.5,7
から検索するの,6,6,1.0,12.5,7
なる。これこそ,6,6,1.0,12.5,7
に頼んで,6,6,1.0,12.5,4
、あなたを守っ,6,6,1.0,12.5,7
ください。すべて私,6,6,1.0,12.5,9
「人生の防具,6,6,1.0,12.5,6
くるケースも,6,6,1.0,12.5,6
で勝てる証拠,6,6,1.0,12.5,6
ケースもザラ,6,6,1.0,12.5,6
無料家計診断】,6,6,1.0,12.5,7
、ある日突然,6,6,1.0,12.5,6
.【借金・,6,6,1.0,12.5,5
こっそり覗いてみ,6,6,1.0,12.5,8
の戦い方です,6,6,1.0,12.5,6
いる人ほど、,6,6,1.0,12.5,6
ください。👉,6,6,1.0,12.5,6
診断できます。,6,6,1.0,12.5,7
法を知る側,6,6,1.0,12.5,5
な形であなた,6,6,1.0,12.5,6
**をまとめ,6,6,1.0,12.5,6
くれるのは「,6,6,1.0,12.5,6
こと、あなた,6,6,1.0,12.5,6
【借金・リボ,6,6,1.0,12.5,6
の「ギリギリ,6,6,1.0,12.5,6
いるだけで救わ,6,6,1.0,12.5,7
まとめ▼1,6,6,1.0,12.5,5
特に男女,6,6,1.0,12.5,4
.【借金,6,6,1.0,12.5,4
あなたの生活を,6,6,1.0,12.5,7
なるツール,6,6,1.0,12.5,5
やすい最大,6,6,1.0,12.5,5
リスクです,6,6,1.0,12.5,5
「24時間・,6,6,1.0,12.5,6
…。知らない,6,6,1.0,12.5,6
武器」を手,6,6,1.0,12.5,5
ば貰える給付,6,6,1.0,12.5,6
てから交渉する,6,6,1.0,12.5,7
】いっそ,6,6,1.0,12.5,4
全国対応」で,6,6,1.0,12.5,6
問い詰める前に,6,6,1.0,12.5,7
「取ら,6,6,1.0,12.5,3
は出ない,6,6,1.0,12.5,4
「法を,6,6,1.0,12.5,3
であなたの生活,6,6,1.0,12.5,7
なり、搾取,6,6,1.0,12.5,5
今日のテーマ,6,6,1.0,12.5,6
タップして「,6,6,1.0,12.5,6
いる人ほど,6,6,1.0,12.5,5
自分を守れるよう,6,6,1.0,12.5,8
法を知る,6,6,1.0,12.5,4
のリアルと,6,6,1.0,12.5,5
時、あなた,6,6,1.0,12.5,5
】購入,6,6,1.0,12.5,3
