phrase,fn_df,all_df,fp_ratio,fn_pct,length
ゲットし,4,4,1.0,25.0,4
ない時,4,4,1.0,25.0,3
きたら、,4,4,1.0,25.0,4
意味がない,4,4,1.0,25.0,5
側から,4,4,1.0,25.0,3
？そう,4,4,1.0,25.0,3
が圧倒的に,4,4,1.0,25.0,5
生み出し,4,4,1.0,25.0,4
警告】,4,4,1.0,25.0,3
が無意識,4,4,1.0,25.0,4
アップデート,4,4,1.0,25.0,6
法改正,4,4,1.0,25.0,3
待っている,4,4,1.0,25.0,5
、20代,4,4,1.0,25.0,4
。具体的な,4,4,1.0,25.0,5
のに、なぜ,4,4,1.0,25.0,5
を掲げて,4,4,1.0,25.0,4
行動で,4,4,1.0,25.0,3
。別の,4,4,1.0,25.0,3
がダメ,4,4,1.0,25.0,3
は最悪,4,4,1.0,25.0,3
煽って,4,4,1.0,25.0,3
が目の前,4,4,1.0,25.0,4
が普通に,4,4,1.0,25.0,4
も全く,4,4,1.0,25.0,3
が成立し,4,4,1.0,25.0,4
もう1,4,4,1.0,25.0,3
を理由に,4,4,1.0,25.0,4
。ほとんど,4,4,1.0,25.0,5
と言います,4,4,1.0,25.0,5
で女性,4,4,1.0,25.0,3
変えられる,4,4,1.0,25.0,5
が使う,4,4,1.0,25.0,3
の絶望,4,4,1.0,25.0,3
を理由,4,4,1.0,25.0,3
た女性が,4,4,1.0,25.0,4
本記事,4,4,1.0,25.0,3
が目の,4,4,1.0,25.0,3
向ける,4,4,1.0,25.0,3
変えるだけで,4,4,1.0,25.0,6
。はっきり,4,4,1.0,25.0,5
を向ける,4,4,1.0,25.0,4
、ほぼ,4,4,1.0,25.0,3
の話で,4,4,1.0,25.0,3
振る舞う,3,3,1.0,18.8,4
の年に,3,3,1.0,18.8,3
無いと思って,3,3,1.0,18.8,6
と意気,3,3,1.0,18.8,3
経済ニュース,3,3,1.0,18.8,6
勿論、,3,3,1.0,18.8,3
行き過ぎ,3,3,1.0,18.8,4
に進む,3,3,1.0,18.8,3
事態に,3,3,1.0,18.8,3
2月7,3,3,1.0,18.8,3
影響し,3,3,1.0,18.8,3
影響して,3,3,1.0,18.8,4
無いと思っ,3,3,1.0,18.8,5
大統領選,3,3,1.0,18.8,4
手にする,3,3,1.0,18.8,4
初心者から,3,3,1.0,18.8,5
結果になり,3,3,1.0,18.8,5
やり方は,3,3,1.0,18.8,4
動画が,3,3,1.0,18.8,3
2月7日,3,3,1.0,18.8,4
通り。,3,3,1.0,18.8,3
を抑えて,3,3,1.0,18.8,4
込んで,3,3,1.0,18.8,3
有益な情報,3,3,1.0,18.8,5
年2月7,3,3,1.0,18.8,4
ことに。,3,3,1.0,18.8,4
的ダメージ,3,3,1.0,18.8,5
で勝負,3,3,1.0,18.8,3
3年目,3,3,1.0,18.8,3
万人、,3,3,1.0,18.8,3
助かる,3,3,1.0,18.8,3
は掲示,3,3,1.0,18.8,3
を抱く女性,3,3,1.0,18.8,5
影響を与えます,3,3,1.0,18.8,7
会うまで,3,3,1.0,18.8,4
（33,3,3,1.0,18.8,3
が縮まっ,3,3,1.0,18.8,4
なれる可能,3,3,1.0,18.8,5
出会いや,3,3,1.0,18.8,4
から選ん,3,3,1.0,18.8,4
トキメキ,3,3,1.0,18.8,4
して興味,3,3,1.0,18.8,4
の参考とし,3,3,1.0,18.8,5
する事が可能,3,3,1.0,18.8,6
女性に男,3,3,1.0,18.8,4
の誕生,3,3,1.0,18.8,3
います。出会い,3,3,1.0,18.8,7
成功させるポイント,3,3,1.0,18.8,9
や会う,3,3,1.0,18.8,3
で出会い系,3,3,1.0,18.8,5
な男性の,3,3,1.0,18.8,4
あなたの個人,3,3,1.0,18.8,6
危険、,3,3,1.0,18.8,3
ます！出会い,3,3,1.0,18.8,6
行動パターンを,3,3,1.0,18.8,7
大きく影響,3,3,1.0,18.8,5
、異性と,3,3,1.0,18.8,4
仲良くなっ,3,3,1.0,18.8,5
浮気を,3,3,1.0,18.8,3
困難な,3,3,1.0,18.8,3
に行きたい,3,3,1.0,18.8,5
て聞いて,3,3,1.0,18.8,4
性はゼロ,3,3,1.0,18.8,4
、浮気,3,3,1.0,18.8,3
。恋愛、,3,3,1.0,18.8,4
の友達が,3,3,1.0,18.8,4
ような男性,3,3,1.0,18.8,5
（28歳,3,3,1.0,18.8,4
ます。出会い,3,3,1.0,18.8,6
で余裕が,3,3,1.0,18.8,4
、忙しい,3,3,1.0,18.8,4
、親密,3,3,1.0,18.8,3
させるポイント,3,3,1.0,18.8,7
になれる可能,3,3,1.0,18.8,6
は浮気,3,3,1.0,18.8,3
掲示板から,3,3,1.0,18.8,5
で一年,3,3,1.0,18.8,3
日記」,3,3,1.0,18.8,3
25歳）,3,3,1.0,18.8,4
接し方,3,3,1.0,18.8,3
食事や,3,3,1.0,18.8,3
。出会い系,3,3,1.0,18.8,5
を乗り越えるための,3,3,1.0,18.8,9
を見つける方法と,3,3,1.0,18.8,8
の壁と,3,3,1.0,18.8,3
問題や,3,3,1.0,18.8,3
いい女の,3,3,1.0,18.8,4
なれる可能性は,3,3,1.0,18.8,7
男性だ,3,3,1.0,18.8,3
好きになって,3,3,1.0,18.8,6
このタイミング,3,3,1.0,18.8,7
を探すことが,3,3,1.0,18.8,6
に対応いたし,3,3,1.0,18.8,6
高品質な,3,3,1.0,18.8,4
異性とし,3,3,1.0,18.8,4
でした。出会い,3,3,1.0,18.8,7
は嫌わ,3,3,1.0,18.8,3
構築してい,3,3,1.0,18.8,5
お断り,3,3,1.0,18.8,3
強く、,3,3,1.0,18.8,3
て興味,3,3,1.0,18.8,3
の判断基準,3,3,1.0,18.8,5
・告白,3,3,1.0,18.8,3
）「お,3,3,1.0,18.8,3
できる環境」を,3,3,1.0,18.8,7
さん（28歳,3,3,1.0,18.8,6
や男女,3,3,1.0,18.8,3
もらえる」,3,3,1.0,18.8,5
60万,3,3,1.0,18.8,3
女性は男性,3,3,1.0,18.8,5
ます。もしも,3,3,1.0,18.8,6
相手を見つける,3,3,1.0,18.8,7
タイミングは,3,3,1.0,18.8,6
は掲示板,3,3,1.0,18.8,4
ます。恋愛,3,3,1.0,18.8,5
、男女の,3,3,1.0,18.8,4
恋愛、,3,3,1.0,18.8,3
忙しそう,3,3,1.0,18.8,4
訪れます,3,3,1.0,18.8,4
と出会った,3,3,1.0,18.8,5
」を使っ,3,3,1.0,18.8,4
の機能の,3,3,1.0,18.8,4
環境」を,3,3,1.0,18.8,4
に行きたい」,3,3,1.0,18.8,6
な男性を,3,3,1.0,18.8,4
たイメージ,3,3,1.0,18.8,5
ください！出会い,3,3,1.0,18.8,8
変えるため、,3,3,1.0,18.8,6
目的の人,3,3,1.0,18.8,4
優柔不断,3,3,1.0,18.8,4
会うまでに,3,3,1.0,18.8,5
出会いなど,3,3,1.0,18.8,5
、世間,3,3,1.0,18.8,3
探し、,3,3,1.0,18.8,3
事が可能,3,3,1.0,18.8,4
なら出会い,3,3,1.0,18.8,5
コツや,3,3,1.0,18.8,3
してお役立て,3,3,1.0,18.8,6
お相手の,3,3,1.0,18.8,4
男性・,3,3,1.0,18.8,3
注意点や,3,3,1.0,18.8,4
が忙し,3,3,1.0,18.8,3
付き合うコツ,3,3,1.0,18.8,6
片思い,3,3,1.0,18.8,3
と悩ん,3,3,1.0,18.8,3
出会い系は,3,3,1.0,18.8,5
に立つの,3,3,1.0,18.8,4
ます。年齢,3,3,1.0,18.8,5
さん（28,3,3,1.0,18.8,5
は男性と,3,3,1.0,18.8,4
【浮気,3,3,1.0,18.8,3
男性だとし,3,3,1.0,18.8,5
お守り,3,3,1.0,18.8,3
。監視,3,3,1.0,18.8,3
43歳,3,3,1.0,18.8,3
てお役立てください,3,3,1.0,18.8,9
職場や,3,3,1.0,18.8,3
恋愛」,3,3,1.0,18.8,3
チャンスです,3,3,1.0,18.8,6
た。出会い,3,3,1.0,18.8,5
お試しください。,3,3,1.0,18.8,8
の一覧から,3,3,1.0,18.8,5
や日常生活,3,3,1.0,18.8,5
な付き合い,3,3,1.0,18.8,5
出会いの場,3,3,1.0,18.8,5
てお役立て,3,3,1.0,18.8,5
が恋愛に,3,3,1.0,18.8,4
の誕生日,3,3,1.0,18.8,4
に対応いたします,3,3,1.0,18.8,8
広告掲載,3,3,1.0,18.8,4
男性との,3,3,1.0,18.8,4
男性だと,3,3,1.0,18.8,4
ない男,3,3,1.0,18.8,3
ます。出会い系,3,3,1.0,18.8,7
ポイント制,3,3,1.0,18.8,5
行きたい」,3,3,1.0,18.8,5
のご希望,3,3,1.0,18.8,4
判断基準,3,3,1.0,18.8,4
一覧から,3,3,1.0,18.8,4
共通した,3,3,1.0,18.8,4
（28,3,3,1.0,18.8,3
利用を制限,3,3,1.0,18.8,5
てください！出会い,3,3,1.0,18.8,9
跳ね上がる,3,3,1.0,18.8,5
いる女性の,3,3,1.0,18.8,5
て聞いてみ,3,3,1.0,18.8,5
女性（,3,3,1.0,18.8,3
行動パターン,3,3,1.0,18.8,6
せるポイント,3,3,1.0,18.8,6
恋愛がしたい,3,3,1.0,18.8,6
28歳）,3,3,1.0,18.8,4
詳しく解説し,3,3,1.0,18.8,6
いったイメージ,3,3,1.0,18.8,7
て最も,3,3,1.0,18.8,3
は定番,3,3,1.0,18.8,3
乗り越えるための,3,3,1.0,18.8,8
。もしも,3,3,1.0,18.8,4
など、お,3,3,1.0,18.8,4
になれる可能性,3,3,1.0,18.8,7
。検索,3,3,1.0,18.8,3
、付き合っ,3,3,1.0,18.8,5
と悩んだ,3,3,1.0,18.8,4
！出会い系,3,3,1.0,18.8,5
です。出会い,3,3,1.0,18.8,6
でこの記事,3,3,1.0,18.8,5
試しください,3,3,1.0,18.8,6
抱く女性,3,3,1.0,18.8,4
ます。無料で,3,3,1.0,18.8,6
品質な,3,3,1.0,18.8,3
（25歳）,3,3,1.0,18.8,5
出会ったきっかけ,3,3,1.0,18.8,8
お試しください,3,3,1.0,18.8,7
など、お客,3,3,1.0,18.8,5
いい人だ,3,3,1.0,18.8,4
で通報,3,3,1.0,18.8,3
24時間・,3,3,1.0,18.8,5
なれる可能性,3,3,1.0,18.8,6
異性として,3,3,1.0,18.8,5
可能性はゼロ,3,3,1.0,18.8,6
様の体験,3,3,1.0,18.8,4
、付き合って,3,3,1.0,18.8,6
相手との距離,3,3,1.0,18.8,6
！出会いの,3,3,1.0,18.8,5
できる環境」,3,3,1.0,18.8,6
に大きく影響,3,3,1.0,18.8,6
で余裕,3,3,1.0,18.8,3
募集が,3,3,1.0,18.8,3
恋愛がし,3,3,1.0,18.8,4
や成功の,3,3,1.0,18.8,4
の相手を探す,3,3,1.0,18.8,6
た特徴,3,3,1.0,18.8,3
見分け,3,3,1.0,18.8,3
は優しく,3,3,1.0,18.8,4
試しください。,3,3,1.0,18.8,7
飲みに行き,3,3,1.0,18.8,5
や会うまで,3,3,1.0,18.8,5
）「もう,3,3,1.0,18.8,4
はメリット,3,3,1.0,18.8,5
も登録,3,3,1.0,18.8,3
にリード,3,3,1.0,18.8,4
の出会いなど,3,3,1.0,18.8,6
見つける方法と,3,3,1.0,18.8,7
付き合い方を,3,3,1.0,18.8,6
・募集,3,3,1.0,18.8,3
な思い出,3,3,1.0,18.8,4
興味のない,3,3,1.0,18.8,5
縮まっ,3,3,1.0,18.8,3
を制限し,3,3,1.0,18.8,4
】特徴,3,3,1.0,18.8,3
立つの,3,3,1.0,18.8,3
ます！出会い系,3,3,1.0,18.8,7
指定し,3,3,1.0,18.8,3
興味の,3,3,1.0,18.8,3
詳しく解説,3,3,1.0,18.8,5
てもらえる」,3,3,1.0,18.8,6
の場』,3,3,1.0,18.8,3
距離が縮まっ,3,3,1.0,18.8,6
の注意点や,3,3,1.0,18.8,5
書き込ま,3,3,1.0,18.8,4
やポイント,3,3,1.0,18.8,5
彼女をゲット,3,3,1.0,18.8,6
の二人,3,3,1.0,18.8,3
！出会い,3,3,1.0,18.8,4
.【浮気,3,3,1.0,18.8,4
38歳,3,3,1.0,18.8,3
ます。監視,3,3,1.0,18.8,5
の参考と,3,3,1.0,18.8,4
の募集を,3,3,1.0,18.8,4
（28歳）,3,3,1.0,18.8,5
がない・,3,3,1.0,18.8,4
熱意が,3,3,1.0,18.8,3
絶好の,3,3,1.0,18.8,3
の利用に,3,3,1.0,18.8,4
トップに,3,3,1.0,18.8,4
移動して,3,3,1.0,18.8,4
データは,3,3,1.0,18.8,4
を可能にする,3,3,1.0,18.8,6
に関する情報を,3,3,1.0,18.8,7
機能し,3,3,1.0,18.8,3
？10,3,3,1.0,18.8,3
発表を,3,3,1.0,18.8,3
関する情報を,3,3,1.0,18.8,6
後者で,3,3,1.0,18.8,3
データと,3,3,1.0,18.8,4
インターネットの,3,3,1.0,18.8,8
は含ま,3,3,1.0,18.8,3
種類を,3,3,1.0,18.8,3
。お金を,3,3,1.0,18.8,4
（最高,3,3,1.0,18.8,3
慣れしている,3,3,1.0,18.8,6
要求を,3,3,1.0,18.8,3
勘違いしている,3,3,1.0,18.8,7
を伝えても,3,3,1.0,18.8,5
読んでくれ,3,3,1.0,18.8,5
。風俗,3,3,1.0,18.8,3
低いです,3,3,1.0,18.8,4
が終わった,3,3,1.0,18.8,5
セリフを,3,3,1.0,18.8,4
女の子が,3,3,1.0,18.8,4
女の子と,3,3,1.0,18.8,4
言わず、,3,3,1.0,18.8,4
を出さ,3,3,1.0,18.8,3
伝えても,3,3,1.0,18.8,4
か気に,3,3,1.0,18.8,3
状態の,3,3,1.0,18.8,3
が丸見え,3,3,1.0,18.8,4
の風俗,3,3,1.0,18.8,3
見ながら,3,3,1.0,18.8,4
全部話し,3,3,1.0,18.8,4
を出さない,3,3,1.0,18.8,5
使うのは,3,3,1.0,18.8,4
いる・,3,3,1.0,18.8,3
を心配し,3,3,1.0,18.8,4
会話をして,3,3,1.0,18.8,5
を繰り返している,3,3,1.0,18.8,8
みる」,3,3,1.0,18.8,3
慣れして,3,3,1.0,18.8,4
タイプが,3,3,1.0,18.8,4
繰り返している,3,3,1.0,18.8,7
が少ないと,3,3,1.0,18.8,5
関係性,3,3,1.0,18.8,3
を心配して,3,3,1.0,18.8,5
自分の都合,3,3,1.0,18.8,5
を落とす,3,3,1.0,18.8,4
ないの？,3,3,1.0,18.8,4
して自分,3,3,1.0,18.8,4
に一回,3,3,1.0,18.8,3
」とは言わ,3,3,1.0,18.8,5
は言わず,3,3,1.0,18.8,4
（笑）」,3,3,1.0,18.8,4
の人から,3,3,1.0,18.8,4
を欲し,3,3,1.0,18.8,3
…という,3,3,1.0,18.8,4
作っておく,3,3,1.0,18.8,5
ゲットして,3,3,1.0,18.8,5
目標で,3,3,1.0,18.8,3
中身の,3,3,1.0,18.8,3
。やっぱり,3,3,1.0,18.8,5
渡して,3,3,1.0,18.8,3
。LINEの,3,3,1.0,18.8,6
切り返し,3,3,1.0,18.8,4
パターンが,3,3,1.0,18.8,5
慣れし,3,3,1.0,18.8,3
の金額,3,3,1.0,18.8,3
して」,3,3,1.0,18.8,3
を優先し,3,3,1.0,18.8,4
に不快,3,3,1.0,18.8,3
たいと思ってる,3,3,1.0,18.8,7
読んでほしい,3,3,1.0,18.8,6
丸見え,3,3,1.0,18.8,3
に会いたい,3,3,1.0,18.8,5
言わせる,3,3,1.0,18.8,4
足りて,3,3,1.0,18.8,3
ている・,3,3,1.0,18.8,4
てきたら、,3,3,1.0,18.8,5
をゲットし,3,3,1.0,18.8,5
は努力,3,3,1.0,18.8,3
要求さ,3,3,1.0,18.8,3
きた時,3,3,1.0,18.8,3
少ないと,3,3,1.0,18.8,4
笑）」,3,3,1.0,18.8,3
関係性に,3,3,1.0,18.8,4
は勝手,3,3,1.0,18.8,3
バレたら,3,3,1.0,18.8,4
てきた時,3,3,1.0,18.8,4
。何回,3,3,1.0,18.8,3
を心配,3,3,1.0,18.8,3
（特に,3,3,1.0,18.8,3
とは言わず,3,3,1.0,18.8,5
自分からは,3,3,1.0,18.8,5
てみる」,3,3,1.0,18.8,4
優先する,3,3,1.0,18.8,4
会話をし,3,3,1.0,18.8,4
が足りて,3,3,1.0,18.8,4
誘いを,3,3,1.0,18.8,3
生活費,3,3,1.0,18.8,3
ものだ」と,3,3,1.0,18.8,5
しない人,3,3,1.0,18.8,4
が（笑）,3,3,1.0,18.8,4
で行動,3,3,1.0,18.8,3
思考の,3,3,1.0,18.8,3
がユーザー,3,3,1.0,18.8,5
の人生が,3,3,1.0,18.8,4
が消える,3,3,1.0,18.8,4
が無意識に,3,3,1.0,18.8,5
12月11,3,3,1.0,18.8,5
は「社会,3,3,1.0,18.8,4
双方に,3,3,1.0,18.8,3
「米国,3,3,1.0,18.8,3
たった1つ,3,3,1.0,18.8,5
課金し,3,3,1.0,18.8,3
日3:,3,3,1.0,18.8,3
思いますよ,3,3,1.0,18.8,5
フレーズ,3,3,1.0,18.8,4
見て、「,3,3,1.0,18.8,4
こと【,3,3,1.0,18.8,3
埋める,3,3,1.0,18.8,3
名誉教授,3,3,1.0,18.8,4
が警告,3,3,1.0,18.8,3
が悪いこと,3,3,1.0,18.8,5
年12月11,3,3,1.0,18.8,6
動画」,3,3,1.0,18.8,3
しました」,3,3,1.0,18.8,5
「この人、,3,3,1.0,18.8,5
、冷徹,3,3,1.0,18.8,3
が（笑,3,3,1.0,18.8,3
を埋める,3,3,1.0,18.8,4
た3つ,3,3,1.0,18.8,3
重ねている,3,3,1.0,18.8,5
オンラインに,3,3,1.0,18.8,6
高市首相,3,3,1.0,18.8,4
を重ねている,3,3,1.0,18.8,6
、冷徹な,3,3,1.0,18.8,4
12月11日,3,3,1.0,18.8,6
ラインに,3,3,1.0,18.8,4
働くと,3,3,1.0,18.8,3
この人、,3,3,1.0,18.8,4
搾取さ,3,3,1.0,18.8,3
の双方,3,3,1.0,18.8,3
した状態,3,3,1.0,18.8,4
な距離,3,3,1.0,18.8,3
は翌日,3,3,1.0,18.8,3
、1つ,3,3,1.0,18.8,3
使うように,3,3,1.0,18.8,5
いう理由,3,3,1.0,18.8,4
者が増えて,3,3,1.0,18.8,5
来ました,3,3,1.0,18.8,4
接触し,3,3,1.0,18.8,3
バランスが,3,3,1.0,18.8,5
作るに,3,3,1.0,18.8,3
増えている,3,3,1.0,18.8,5
動けば,3,3,1.0,18.8,3
示すこと,3,3,1.0,18.8,4
を煽っ,3,3,1.0,18.8,3
た状況で,3,3,1.0,18.8,4
に過ぎません,3,3,1.0,18.8,6
ケースも,3,3,1.0,18.8,4
合コン,3,3,1.0,18.8,3
、選考,3,3,1.0,18.8,3
の自信,3,3,1.0,18.8,3
いないと、,3,3,1.0,18.8,5
、最大限,3,3,1.0,18.8,4
。メール,3,3,1.0,18.8,4
1つに,3,3,1.0,18.8,3
て使える,3,3,1.0,18.8,4
決定を,3,3,1.0,18.8,3
た中で、,3,3,1.0,18.8,4
しまうので、,3,3,1.0,18.8,6
に共感し,3,3,1.0,18.8,4
過ぎません。,3,3,1.0,18.8,6
に覚え,3,3,1.0,18.8,3
日10:,3,3,1.0,18.8,4
多少の,3,3,1.0,18.8,3
コンビニ,3,3,1.0,18.8,4
人生初,3,3,1.0,18.8,3
を向けて,3,3,1.0,18.8,4
も読ん,3,3,1.0,18.8,3
と実践,3,3,1.0,18.8,3
行うことを,3,3,1.0,18.8,5
・LINEの,3,3,1.0,18.8,6
来ました。,3,3,1.0,18.8,5
何もできない,3,3,1.0,18.8,6
の仕事です。,3,3,1.0,18.8,6
を許し,3,3,1.0,18.8,3
取られる,3,3,1.0,18.8,4
を示すこと,3,3,1.0,18.8,5
で、実際に,3,3,1.0,18.8,5
、長期,3,3,1.0,18.8,3
を作るに,3,3,1.0,18.8,4
の男性は,3,3,1.0,18.8,4
使うよう,3,3,1.0,18.8,4
いう要素,3,3,1.0,18.8,4
男性は、,3,3,1.0,18.8,4
を相手に,3,3,1.0,18.8,4
の反応が,3,3,1.0,18.8,4
が絶え,3,3,1.0,18.8,3
来まし,3,3,1.0,18.8,3
の人数,3,3,1.0,18.8,3
も過去,3,3,1.0,18.8,3
ていない、,3,3,1.0,18.8,5
の仕事です,3,3,1.0,18.8,5
は十分,3,3,1.0,18.8,3
ことが多い。,3,3,1.0,18.8,6
がないと判断,3,3,1.0,18.8,6
いる仕事,3,3,1.0,18.8,4
現実的な,3,3,1.0,18.8,4
の関係に,3,3,1.0,18.8,4
の傾向,3,3,1.0,18.8,3
、女性の,3,3,1.0,18.8,4
に限らず,3,3,1.0,18.8,4
仕事です。,3,3,1.0,18.8,5
という理由,3,3,1.0,18.8,5
の報告,3,3,1.0,18.8,3
の代わり,3,3,1.0,18.8,4
のが、今,3,3,1.0,18.8,4
が成立した,3,3,1.0,18.8,5
限らず,3,3,1.0,18.8,3
の成功者,3,3,1.0,18.8,4
ている仕事,3,3,1.0,18.8,5
の本音を,3,3,1.0,18.8,4
・LINE,3,3,1.0,18.8,5
も変わる,3,3,1.0,18.8,4
も読んで,3,3,1.0,18.8,4
会社員,3,3,1.0,18.8,3
背負う,3,3,1.0,18.8,3
する。この,3,3,1.0,18.8,5
という意識,3,3,1.0,18.8,5
過ぎません,3,3,1.0,18.8,5
」とのこと,3,3,1.0,18.8,5
を煽って,3,3,1.0,18.8,4
ないと判断,3,3,1.0,18.8,5
リベンジ,3,3,1.0,18.8,4
経験がない,3,3,1.0,18.8,5
、冷静に,3,3,1.0,18.8,4
と言います。,3,3,1.0,18.8,6
えっ？,3,3,1.0,18.8,3
は多い。,3,3,1.0,18.8,4
した女性,3,3,1.0,18.8,4
。会え,3,3,1.0,18.8,3
いう意識,3,3,1.0,18.8,4
ができず、,3,3,1.0,18.8,5
仕事です,3,3,1.0,18.8,4
、今、,3,3,1.0,18.8,3
て利用して,3,3,1.0,18.8,5
た中で,3,3,1.0,18.8,3
相手で,3,3,1.0,18.8,3
（30,3,3,1.0,18.8,3
に自信が,3,3,1.0,18.8,4
、ネット,3,3,1.0,18.8,4
じゃない」と,3,3,1.0,18.8,6
の医者,3,3,1.0,18.8,3
です。この記事,3,3,1.0,18.8,7
いた中,3,3,1.0,18.8,3
いう理由で,3,3,1.0,18.8,5
しかし、本当に,3,3,1.0,18.8,7
もう1つ,3,3,1.0,18.8,4
した瞬間,3,3,1.0,18.8,4
過ぎませ,3,3,1.0,18.8,4
300万円,3,3,1.0,18.8,5
と疑わ,3,3,1.0,18.8,3
報告が,3,3,1.0,18.8,3
女子の,3,3,1.0,18.8,3
」という理由,3,3,1.0,18.8,6
本音を,3,3,1.0,18.8,3
スマホのメモ,3,3,1.0,18.8,6
ポイントだ,3,3,1.0,18.8,5
制度も,3,3,1.0,18.8,3
成立した,3,3,1.0,18.8,4
、会う,3,3,1.0,18.8,3
協力して,3,3,1.0,18.8,4
、事前に,3,3,1.0,18.8,4
続ける」,3,3,1.0,18.8,4
いるケース,3,3,1.0,18.8,5
の行動で,3,3,1.0,18.8,4
伝える。,3,3,1.0,18.8,4
意味がない」,3,3,1.0,18.8,6
に自信,3,3,1.0,18.8,3
後悔して,3,3,1.0,18.8,4
企業や,3,3,1.0,18.8,3
ない人も,3,3,1.0,18.8,4
記事は、,3,3,1.0,18.8,4
人ほど、,3,3,1.0,18.8,4
人生初の,3,3,1.0,18.8,4
。この記事の,3,3,1.0,18.8,6
て利用し,3,3,1.0,18.8,4
のメモ,3,3,1.0,18.8,3
向けてい,3,3,1.0,18.8,4
に、女性,3,3,1.0,18.8,4
に過ぎませ,3,3,1.0,18.8,5
見ています,3,3,1.0,18.8,5
を向けてい,3,3,1.0,18.8,5
ているケース,3,3,1.0,18.8,6
て気に,3,3,1.0,18.8,3
じゃない」,3,3,1.0,18.8,5
者が増え,3,3,1.0,18.8,4
から直接,3,3,1.0,18.8,4
を相手,3,3,1.0,18.8,3
という要素,3,3,1.0,18.8,5
狙っている,3,3,1.0,18.8,5
説明してい,3,3,1.0,18.8,5
でいい。,3,3,1.0,18.8,4
に回る,3,3,1.0,18.8,3
都合のいい,3,3,1.0,18.8,5
た時点で、,3,3,1.0,18.8,5
に扱う,3,3,1.0,18.8,3
文章が,3,3,1.0,18.8,3
comいいなと,3,3,1.0,18.8,7
なっている「,3,3,1.0,18.8,6
の頭の,3,3,1.0,18.8,3
検索メニュー投稿,3,3,1.0,18.8,8
、購入,3,3,1.0,18.8,3
あたって、,3,3,1.0,18.8,5
を知らなかった,3,3,1.0,18.8,7
の通知,3,3,1.0,18.8,3
なくていい。,3,3,1.0,18.8,6
が逆転,3,3,1.0,18.8,3
反応を,3,3,1.0,18.8,3
を奪い,3,3,1.0,18.8,3
、やり,3,3,1.0,18.8,3
comいいな,3,3,1.0,18.8,6
終わった後,3,3,1.0,18.8,5
その時、,3,3,1.0,18.8,4
ここまで読ん,3,3,1.0,18.8,6
変わる。,3,3,1.0,18.8,4
をアップデートし,3,3,1.0,18.8,8
アップデートし,3,3,1.0,18.8,7
を知らなかっ,3,3,1.0,18.8,6
た時点で,3,3,1.0,18.8,4
目を向ける,3,3,1.0,18.8,5
連絡は,3,3,1.0,18.8,3
変える。,3,3,1.0,18.8,4
comいい,3,3,1.0,18.8,5
も離れ,3,3,1.0,18.8,3
にあたって、,3,3,1.0,18.8,6
で検索メニュー投稿,3,3,1.0,18.8,9
をアップデート,3,3,1.0,18.8,7
の立場を,3,3,1.0,18.8,4
【警告,3,3,1.0,18.8,3
クリエイターで検索メニュー,3,3,1.0,18.8,13
まで読んで,3,3,1.0,18.8,5
た時点,3,3,1.0,18.8,3
。都合の,3,3,1.0,18.8,4
